
 gen | best | mean | std
 GENERATION 0 | 56.884108 | 0.045832 | 12.829518
 GENERATION 1 | 56.884108 | 13.341585 | 14.324448
 GENERATION 2 | 87.593424 | 22.084672 | 20.68299
 GENERATION 3 | 89.013791 | 30.802541 | 23.347725
 GENERATION 4 | 89.013791 | 35.377348 | 25.391523
 GENERATION 5 | 89.013791 | 36.825739 | 26.330007
 GENERATION 6 | 89.013791 | 40.038047 | 24.505107
 GENERATION 7 | 89.013791 | 40.252464 | 25.862868
 GENERATION 8 | 89.013791 | 41.119424 | 25.517978
 GENERATION 9 | 89.013791 | 41.87019 | 25.958793
 purge
 GENERATION 10 | 89.013791 | 43.282759 | 27.69174
 GENERATION 11 | 89.013791 | 46.001568 | 26.200488
 GENERATION 12 | 89.013791 | 42.197594 | 26.857153
 GENERATION 13 | 89.013791 | 47.078064 | 23.668288
 GENERATION 14 | 89.013791 | 45.50177 | 23.842091
 GENERATION 15 | 89.013791 | 48.499779 | 22.244374
 GENERATION 16 | 89.013791 | 49.717191 | 22.343877
 purge
 GENERATION 17 | 89.013791 | 51.089903 | 24.604331
 GENERATION 18 | 89.013791 | 58.9538 | 19.511268
 GENERATION 19 | 89.013791 | 58.581495 | 20.39093
 GENERATION 20 | 89.013791 | 63.337544 | 19.64913
 GENERATION 21 | 89.013791 | 63.801423 | 20.910727
 GENERATION 22 | 89.013791 | 65.379787 | 22.981743
 GENERATION 23 | 89.393424 | 70.63583 | 21.513293
 GENERATION 24 | 89.393424 | 73.941157 | 18.737752
 GENERATION 25 | 89.393424 | 76.095857 | 19.805855
 GENERATION 26 | 89.393424 | 74.561409 | 22.834218
 GENERATION 27 | 89.993424 | 74.855064 | 24.334011
 GENERATION 28 | 89.993424 | 80.518337 | 17.253265
 GENERATION 29 | 89.993424 | 81.825312 | 16.35616
