
 gen | best | mean | std
 GENERATION 0 | 91.209567 | 12.937251 | 33.349039
 GENERATION 1 | 92.769562 | 54.266766 | 33.657778
 GENERATION 2 | 92.769562 | 67.462158 | 29.316645
 GENERATION 3 | 92.769562 | 71.145035 | 28.643904
 GENERATION 4 | 92.769562 | 78.773812 | 20.979165
 GENERATION 5 | 92.769562 | 77.286984 | 22.238272
 GENERATION 6 | 92.769562 | 78.098614 | 22.425507
 GENERATION 7 | 92.770654 | 76.417648 | 24.217454
 GENERATION 8 | 92.770654 | 79.240671 | 22.377759
 GENERATION 9 | 92.770654 | 77.27824 | 22.500607
 GENERATION 10 | 92.770654 | 78.384155 | 20.743269
 GENERATION 11 | 92.927 | 76.702623 | 22.906931
 GENERATION 12 | 92.927 | 76.116335 | 22.849855
 GENERATION 13 | 92.927 | 79.504544 | 20.358907
 GENERATION 14 | 92.927 | 77.329771 | 22.578348
 GENERATION 15 | 92.927 | 75.71203 | 22.481405
 GENERATION 16 | 92.927 | 76.839901 | 22.462971
 GENERATION 17 | 92.927 | 78.198543 | 22.742593
 GENERATION 18 | 93.527 | 76.866252 | 23.7949
 GENERATION 19 | 93.527 | 71.799034 | 27.441759
 GENERATION 20 | 93.527 | 76.953206 | 24.145127
 GENERATION 21 | 93.527 | 73.001273 | 25.509021
 GENERATION 22 | 93.527 | 77.683155 | 21.470181
 GENERATION 23 | 93.527 | 75.296418 | 24.093042
 GENERATION 24 | 93.527 | 76.79612 | 24.147386
 purge
 GENERATION 25 | 93.527 | 72.631312 | 34.076418
 GENERATION 26 | 93.527 | 79.677541 | 22.059518
 GENERATION 27 | 93.527 | 81.72277 | 20.783201
 GENERATION 28 | 93.527 | 80.461872 | 20.499205
 GENERATION 29 | 93.527 | 78.272406 | 21.251968
 GENERATION 30 | 93.527 | 80.282235 | 18.99305
 GENERATION 31 | 93.527 | 78.459819 | 22.671594
 purge
 GENERATION 32 | 93.527 | 71.15913 | 34.278828
 GENERATION 33 | 93.527 | 78.681158 | 22.523136
 GENERATION 34 | 93.527 | 77.316064 | 23.212973
 GENERATION 35 | 93.527 | 78.180343 | 21.295804
 GENERATION 36 | 93.727 | 76.618155 | 23.587519
 GENERATION 37 | 93.727 | 74.867911 | 25.057861
 GENERATION 38 | 93.727 | 78.821298 | 21.190336
 GENERATION 39 | 93.727 | 81.733579 | 19.189736
 GENERATION 40 | 93.727 | 75.948971 | 27.095877
 GENERATION 41 | 93.727 | 75.794517 | 24.407233
 GENERATION 42 | 93.727 | 75.343392 | 26.550728
 purge
 GENERATION 43 | 93.727 | 74.25414 | 33.784004
 GENERATION 44 | 93.727 | 79.442587 | 23.253773
 GENERATION 45 | 93.727 | 82.34835 | 20.423315
 GENERATION 46 | 93.727 | 80.453245 | 22.284754
 GENERATION 47 | 94.376119 | 80.997872 | 20.122915
 GENERATION 48 | 94.376119 | 80.167135 | 22.993544
 GENERATION 49 | 94.376119 | 81.114659 | 22.015862
