
 gen | best | mean | std
 GENERATION 0 | 47.773463 | -0.694259 | 10.838909
 GENERATION 1 | 74.862273 | 6.349224 | 15.666104
 GENERATION 2 | 74.862273 | 27.629464 | 21.385929
 GENERATION 3 | 74.862273 | 42.951589 | 19.079094
 GENERATION 4 | 74.862273 | 53.279653 | 13.015824
 GENERATION 5 | 84.567552 | 55.925181 | 8.988076
 GENERATION 6 | 84.567552 | 56.447437 | 6.859266
 GENERATION 7 | 86.526955 | 58.091096 | 9.02759
 GENERATION 8 | 86.526955 | 60.756056 | 10.093776
 GENERATION 9 | 86.526955 | 61.038704 | 11.988388
 GENERATION 10 | 86.526955 | 61.28341 | 15.162957
 GENERATION 11 | 86.526955 | 63.316971 | 13.976852
 GENERATION 12 | 86.526955 | 66.27636 | 15.539234
 GENERATION 13 | 86.526955 | 71.941978 | 15.784517
 purge
 GENERATION 14 | 86.526955 | 65.527283 | 34.708611
 GENERATION 15 | 86.526955 | 81.251891 | 14.355858
 GENERATION 16 | 86.526955 | 84.19816 | 8.865145
 GENERATION 17 | 86.526955 | 85.774634 | 3.593937
 GENERATION 18 | 86.526955 | 86.116077 | 2.095476
 GENERATION 19 | 86.526955 | 86.38092 | 0.438106
 GENERATION 20 | 86.526955 | 86.410127 | 0.396184
 purge
 GENERATION 21 | 86.526955 | 65.69042 | 36.589874
 GENERATION 22 | 86.526955 | 84.096795 | 12.985349
 GENERATION 23 | 86.526955 | 85.844219 | 6.502816
 GENERATION 24 | 86.526955 | 85.858822 | 6.502693
 GENERATION 25 | 86.526955 | 86.526955 | 0.0
 GENERATION 26 | 86.526955 | 86.526955 | 0.0
 GENERATION 27 | 86.526955 | 85.84705 | 5.119913
 purge
 GENERATION 28 | 86.526955 | 67.05911 | 34.891221
 GENERATION 29 | 86.526955 | 83.409008 | 14.099707
