
 gen | best | mean | std
 GENERATION 0 | 92.58272 | 12.819218 | 32.536307
 GENERATION 1 | 92.58272 | 47.271139 | 40.025726
 GENERATION 2 | 92.637155 | 75.685508 | 24.517496
 GENERATION 3 | 92.637155 | 83.712575 | 13.260645
 GENERATION 4 | 92.637155 | 84.371414 | 12.279123
 GENERATION 5 | 92.637155 | 85.472133 | 14.324177
 GENERATION 6 | 92.718596 | 85.264697 | 12.998608
 GENERATION 7 | 92.718596 | 86.073724 | 13.856015
 GENERATION 8 | 92.776119 | 87.512164 | 11.476388
 GENERATION 9 | 93.918596 | 89.608538 | 6.354773
 GENERATION 10 | 93.918596 | 89.899462 | 8.361183
 GENERATION 11 | 93.918596 | 89.273578 | 8.183453
 GENERATION 12 | 93.918596 | 90.665381 | 5.829743
 GENERATION 13 | 93.918596 | 90.894395 | 4.565807
 GENERATION 14 | 93.918596 | 89.583071 | 9.78966
 GENERATION 15 | 93.918596 | 90.90543 | 3.429747
 purge
 GENERATION 16 | 93.918596 | 74.808041 | 36.322798
 GENERATION 17 | 93.918596 | 89.388543 | 12.608292
 GENERATION 18 | 93.918596 | 91.845079 | 1.915773
 GENERATION 19 | 93.918596 | 91.751094 | 2.842955
 GENERATION 20 | 93.918596 | 91.125819 | 6.858841
 GENERATION 21 | 93.918596 | 92.270208 | 1.065304
 GENERATION 22 | 93.918596 | 92.308964 | 1.165778
 purge
 GENERATION 23 | 93.918596 | 75.599437 | 34.801768
 GENERATION 24 | 93.918596 | 92.035411 | 5.469266
 GENERATION 25 | 93.918596 | 92.726302 | 0.541717
 GENERATION 26 | 93.918596 | 92.730302 | 0.541381
 GENERATION 27 | 93.918596 | 92.768921 | 0.16486
 GENERATION 28 | 93.918596 | 92.754797 | 0.185706
 GENERATION 29 | 93.918596 | 92.7695 | 0.1669
 purge
 GENERATION 30 | 93.918596 | 74.040943 | 36.819981
 GENERATION 31 | 93.918596 | 92.768985 | 0.304321
 GENERATION 32 | 93.918596 | 92.787438 | 0.191264
 GENERATION 33 | 93.918596 | 92.7635 | 0.176808
 GENERATION 34 | 93.918596 | 92.758079 | 0.184106
 GENERATION 35 | 93.918596 | 92.69453 | 0.617094
 GENERATION 36 | 93.918596 | 92.717952 | 0.608864
 purge
 GENERATION 37 | 93.918596 | 76.584111 | 33.458167
 GENERATION 38 | 93.918596 | 90.717711 | 9.987017
 GENERATION 39 | 93.918596 | 92.407085 | 3.556529
 GENERATION 40 | 93.918596 | 92.283625 | 4.433102
 GENERATION 41 | 93.918596 | 92.30263 | 4.431114
 GENERATION 42 | 93.918596 | 92.777246 | 0.204771
 GENERATION 43 | 93.918596 | 92.749037 | 0.550528
 purge
 GENERATION 44 | 93.918596 | 74.549739 | 35.719292
 GENERATION 45 | 93.918596 | 89.039328 | 16.55014
 GENERATION 46 | 93.918596 | 92.670245 | 0.77444
 GENERATION 47 | 93.918596 | 92.740225 | 0.376497
 GENERATION 48 | 93.918596 | 92.786925 | 0.186929
 GENERATION 49 | 93.918596 | 92.761511 | 0.225942
