  
 gen | best | mean | std
 GENERATION 0 | 92.53704 | 11.193906 | 28.876462
 GENERATION 1 | 92.53704 | 38.052984 | 38.884771
 GENERATION 2 | 92.53704 | 67.797616 | 28.106694
 GENERATION 3 | 92.58272 | 78.097078 | 22.255792
 GENERATION 4 | 92.776119 | 82.04725 | 18.754416
 GENERATION 5 | 92.776119 | 84.653832 | 14.549112
 GENERATION 6 | 92.776119 | 87.746967 | 5.346981
 GENERATION 7 | 92.776119 | 87.251066 | 7.483671
 GENERATION 8 | 92.776119 | 88.393549 | 3.328304
 GENERATION 9 | 92.776119 | 88.937422 | 2.952611
 GENERATION 10 | 92.776119 | 89.443679 | 3.015883
 purge
 GENERATION 11 | 92.776119 | 74.166504 | 33.99638
 GENERATION 12 | 92.776119 | 88.242772 | 9.719271
 GENERATION 13 | 92.927 | 89.832288 | 3.336401
 GENERATION 14 | 92.927 | 89.926794 | 3.935199
 GENERATION 15 | 92.927 | 90.093576 | 3.245271
 GENERATION 16 | 93.127 | 90.479831 | 2.256847
 GENERATION 17 | 93.127 | 90.713297 | 2.152867
 GENERATION 18 | 93.127 | 91.147745 | 1.727948
 GENERATION 19 | 93.127 | 91.188969 | 1.765276
 GENERATION 20 | 93.127 | 91.119408 | 1.857184
 GENERATION 21 | 93.127 | 91.363543 | 1.490472
 GENERATION 22 | 93.127 | 91.270398 | 1.566957
 purge
 GENERATION 23 | 93.127 | 76.405966 | 34.01801
 GENERATION 24 | 93.127 | 89.666425 | 9.563968
 GENERATION 25 | 93.127 | 89.596984 | 9.566227
 GENERATION 26 | 93.127 | 91.287534 | 3.566379
 GENERATION 27 | 93.127 | 90.821136 | 7.956133
 GENERATION 28 | 93.127 | 91.526705 | 1.169644
 GENERATION 29 | 93.127 | 91.176609 | 4.428346
 purge
 GENERATION 30 | 93.127 | 74.685956 | 36.319311
 GENERATION 31 | 93.127 | 91.483493 | 1.270774
 GENERATION 32 | 93.127 | 91.550011 | 1.112867
 GENERATION 33 | 93.127 | 90.879825 | 7.088282
 GENERATION 34 | 93.127 | 91.585387 | 1.106187
 GENERATION 35 | 93.127 | 91.415661 | 1.469541
 GENERATION 36 | 93.127 | 91.468589 | 1.374216
 purge
 GENERATION 37 | 93.127 | 79.216638 | 30.32413
 GENERATION 38 | 93.127 | 89.977408 | 9.850736
 GENERATION 39 | 93.127 | 91.474229 | 1.273756
 GENERATION 40 | 93.127 | 91.602971 | 0.979691
 GENERATION 41 | 93.127 | 91.645935 | 0.887648
 GENERATION 42 | 93.127 | 91.72444 | 0.627771
 GENERATION 43 | 93.127 | 91.737986 | 0.643087
 purge
 GENERATION 44 | 93.127 | 77.267369 | 34.221692
 GENERATION 45 | 93.127 | 90.64184 | 7.121555
 GENERATION 46 | 93.127 | 91.250372 | 3.588323
 GENERATION 47 | 93.127 | 90.956438 | 3.793748
 GENERATION 48 | 93.127 | 91.037749 | 3.755494
 GENERATION 49 | 93.127 | 91.369821 | 1.587769
