
 gen | best | mean | std
 GENERATION 0 | 57.16227 | -2.789466 | 8.242952
 GENERATION 1 | 57.16227 | 4.053694 | 12.670481
 GENERATION 2 | 57.16227 | 11.09065 | 12.69042
 GENERATION 3 | 57.16227 | 16.052623 | 11.491117
 GENERATION 4 | 57.16227 | 19.113389 | 11.235096
 GENERATION 5 | 57.16227 | 22.082622 | 10.969344
 GENERATION 6 | 57.16227 | 22.176171 | 10.103831
 purge
 GENERATION 7 | 57.16227 | 18.709516 | 15.563974
 GENERATION 8 | 57.16227 | 22.173382 | 11.177388
 GENERATION 9 | 57.231679 | 23.168265 | 9.216978
 GENERATION 10 | 57.231679 | 22.805307 | 9.03241
 GENERATION 11 | 57.231679 | 22.899621 | 8.602357
 GENERATION 12 | 57.231679 | 22.539112 | 8.548897
 GENERATION 13 | 57.231679 | 22.719591 | 8.622022
 GENERATION 14 | 57.231679 | 22.363294 | 9.116733
 GENERATION 15 | 57.231679 | 21.652063 | 8.025362
 purge
 GENERATION 16 | 57.266659 | 18.781148 | 13.789129
 GENERATION 17 | 57.266659 | 22.532705 | 8.995944
 GENERATION 18 | 57.266659 | 22.180996 | 8.096542
 GENERATION 19 | 57.266659 | 21.741118 | 7.345126
 GENERATION 20 | 57.266659 | 22.097641 | 7.845392
 GENERATION 21 | 57.296218 | 22.538075 | 9.592561
 GENERATION 22 | 66.225448 | 22.269719 | 10.694174
 GENERATION 23 | 66.225448 | 22.896442 | 9.969133
 GENERATION 24 | 66.225448 | 23.962676 | 11.500004
 GENERATION 25 | 66.225448 | 23.867469 | 12.087717
 GENERATION 26 | 66.225448 | 22.885473 | 11.930457
 GENERATION 27 | 66.225448 | 23.605234 | 11.134318
 GENERATION 28 | 66.225448 | 22.358963 | 10.863233
 purge
 GENERATION 29 | 66.225448 | 18.792289 | 15.047224
 GENERATION 30 | 66.225448 | 21.627235 | 12.155732
 GENERATION 31 | 66.225448 | 22.186084 | 10.352815
 GENERATION 32 | 66.225448 | 21.833328 | 8.957978
 GENERATION 33 | 66.225448 | 21.019123 | 9.668278
 GENERATION 34 | 66.225448 | 21.824368 | 10.120597
 GENERATION 35 | 66.225448 | 21.290927 | 9.306728
 purge
 GENERATION 36 | 66.225448 | 18.611627 | 14.467922
 GENERATION 37 | 66.225448 | 21.98564 | 10.589113
 GENERATION 38 | 66.225448 | 21.815044 | 10.811005
 GENERATION 39 | 66.225448 | 22.699442 | 11.053171
 GENERATION 40 | 66.225448 | 21.788121 | 13.396172
 GENERATION 41 | 66.225448 | 23.767267 | 11.466823
 GENERATION 42 | 66.225448 | 22.713148 | 9.977438
 purge
 GENERATION 43 | 66.225448 | 18.600442 | 15.681618
 GENERATION 44 | 66.225448 | 22.707152 | 11.543938
 GENERATION 45 | 66.225448 | 22.982482 | 11.12229
 GENERATION 46 | 66.225448 | 22.262213 | 11.675281
 GENERATION 47 | 66.225448 | 22.785924 | 10.866337
 GENERATION 48 | 66.225448 | 22.348169 | 9.553676
 GENERATION 49 | 66.225448 | 22.445268 | 9.661427
