
 gen | best | mean | std
 GENERATION 0 | 56.773463 | 0.042219 | 12.663992
 GENERATION 1 | 74.730904 | 16.226311 | 17.394041
 GENERATION 2 | 74.855814 | 22.592865 | 18.580591
 GENERATION 3 | 74.855814 | 27.254596 | 19.092631
 GENERATION 4 | 87.011736 | 32.871028 | 21.542035
 GENERATION 5 | 87.011736 | 35.342632 | 22.371528
 GENERATION 6 | 87.011736 | 35.777793 | 22.95933
 GENERATION 7 | 87.19141 | 38.54925 | 22.339995
 GENERATION 8 | 87.19141 | 43.462285 | 21.721524
 GENERATION 9 | 87.19141 | 43.855015 | 21.477877
 GENERATION 10 | 87.19141 | 42.730866 | 23.581276
 GENERATION 11 | 87.19141 | 43.666971 | 24.027405
 GENERATION 12 | 87.904175 | 42.444606 | 24.970065
 GENERATION 13 | 87.904175 | 42.588623 | 25.377831
 GENERATION 14 | 87.904175 | 45.258099 | 25.098929
 GENERATION 15 | 90.445142 | 49.159943 | 23.658476
 GENERATION 16 | 90.445142 | 57.271946 | 20.463279
 GENERATION 17 | 90.445142 | 60.085853 | 20.017928
 GENERATION 18 | 90.445142 | 61.323337 | 19.705493
 GENERATION 19 | 90.445142 | 62.771931 | 22.06867
 GENERATION 20 | 90.445142 | 68.577977 | 19.70134
 GENERATION 21 | 90.445142 | 70.18626 | 21.281029
 purge
 GENERATION 22 | 90.445142 | 62.91941 | 33.375228
 GENERATION 23 | 90.445142 | 70.354108 | 26.133898
 GENERATION 24 | 90.445142 | 72.746375 | 26.06625
 GENERATION 25 | 90.445142 | 76.577357 | 21.496429
 GENERATION 26 | 90.445142 | 81.743044 | 14.498348
 GENERATION 27 | 90.445142 | 81.209174 | 18.331588
 GENERATION 28 | 90.445142 | 80.339734 | 19.849443
 purge
 GENERATION 29 | 90.445142 | 67.613743 | 35.311156
