
 gen | best | mean | std
 GENERATION 0 | 75.247427 | -0.875575 | 15.074615
 GENERATION 1 | 75.247427 | 10.487699 | 24.670512
 GENERATION 2 | 75.247427 | 21.453542 | 26.738038
 GENERATION 3 | 75.597323 | 31.944949 | 28.130538
 GENERATION 4 | 86.590654 | 45.591704 | 25.089362
 GENERATION 5 | 86.590654 | 50.149249 | 23.454087
 GENERATION 6 | 86.590654 | 50.645946 | 23.275004
 GENERATION 7 | 86.590654 | 52.506211 | 21.893638
 GENERATION 8 | 86.590654 | 56.490438 | 16.683
 GENERATION 9 | 86.590654 | 56.494793 | 18.191022
 GENERATION 10 | 86.590654 | 57.507758 | 16.680081
 purge
 GENERATION 11 | 86.590654 | 49.627358 | 28.723083
