

gen best mean std
0 91.772379 8.62081 28.70565
1 91.772379 35.972062 37.713106
2 92.147727 62.995074 29.100711
3 92.58272 71.135542 23.216862
4 92.58272 79.612598 15.87478
5 92.58272 84.157439 11.166664
6 92.58272 85.170334 9.260401
7 92.58272 86.428504 7.620924
8 92.776119 86.752169 6.110733
9 92.776119 88.767564 1.986163
10 92.927 88.684786 3.904508
11 92.927 89.628136 2.0633
12 92.927 89.759624 2.584145
13 92.927 90.50429 1.976916
14 93.727 89.652951 7.881355
15 93.727 91.279317 1.575267
16 93.727 91.130733 3.66239
17 93.727 91.68724 1.99385
18 93.727 91.798446 1.950801
19 93.727 91.860853 3.520569
20 93.82385 92.21899 0.649481
21 93.82385 92.218034 0.746539
22 93.82385 92.352984 0.76348
23 93.82385 92.510736 0.523888
24 93.82385 92.389758 0.944623
25 93.835214 92.54909 0.600126
26 93.835214 92.504068 1.013941
27 93.835214 92.529699 0.741124
28 93.835214 92.644823 0.648958
29 93.835214 92.662304 0.690207
