

gen best mean std
0 92.527 7.093858 29.381819
1 92.776119 23.463263 37.684626
2 93.127 63.543466 29.814932
3 93.127 77.940913 20.239315
4 93.127 81.61267 16.640381
5 93.127 85.347392 10.701037
6 93.127 87.407394 7.906345
7 93.127 86.088871 11.4961
8 93.727 87.230416 8.306367
9 93.727 88.46466 5.604906
10 93.727 87.3335 13.440492
11 93.727 88.156549 9.720847
12 93.727 87.5783 11.671056
13 93.727 89.212228 8.578169
14 93.727 88.740034 11.621125
15 93.727 89.440142 8.807203
16 93.727 90.649641 2.575157
17 93.727 89.831428 8.681518
18 93.727 90.631043 6.261547
19 93.727 90.827212 3.811541
20 93.727 90.935933 2.963612
21 93.727 91.240782 1.564983
22 93.727 91.758584 0.516533
doomsday
23 93.727 78.803507 31.634585
24 93.727 91.350615 1.577082
25 93.727 91.436505 1.343807
26 93.727 91.532429 1.247746
27 93.727 91.61603 1.087682
28 93.727 91.432526 2.665285
29 93.727 91.848156 0.551676
