

gen best mean std
0 92.563558 12.403298 33.281031
1 92.58272 47.325701 39.308789
2 92.70625 80.031435 19.977418
3 92.70625 82.308522 16.789326
4 92.70625 83.207358 16.425635
5 92.70625 85.868379 12.464413
6 92.70625 87.465285 9.020127
7 92.727 88.382796 7.578564
8 92.727 88.989785 7.299822
9 92.727 89.420961 6.005001
10 92.727 88.255953 8.759135
11 92.927 88.856808 8.440684
12 92.927 89.432062 10.346012
13 92.927 90.276729 5.624624
14 92.927 90.606742 5.721864
15 92.927 90.354954 7.993497
16 92.927 91.211902 4.335671
17 92.927 91.313127 3.847103
18 92.927 91.595891 1.782005
19 92.927 91.793347 0.484542
20 92.927 91.758566 0.657527
21 92.927 91.288908 2.714555
22 92.927 91.662165 0.946781
23 92.927 91.909563 0.534604
24 92.927 91.902459 0.876908
25 92.927 91.692756 2.405791
doomsday
26 92.927 75.366993 35.012582
27 92.927 88.713584 14.633716
28 92.927 90.687067 5.741962
29 92.927 91.618129 2.863261
