

gen best mean std
0 66.606372 0.10804 15.895091
1 66.606372 11.150128 24.227054
2 66.634024 29.837115 27.706785
3 86.311965 48.930886 22.870897
4 86.311965 52.850528 19.032022
5 86.311965 51.38178 19.365308
6 86.311965 54.649259 17.265515
7 86.311965 56.898198 15.900191
8 86.311965 59.097759 12.222275
9 86.311965 58.954154 13.427724
10 86.311965 59.001853 11.615569
11 86.311965 58.34885 14.05455
12 86.311965 57.671468 16.049573
13 86.311965 58.467943 15.824208
14 86.311965 59.221738 13.368216
15 88.819688 61.816362 10.232639
16 88.819688 62.946631 10.401736
17 88.819688 62.113379 11.109693
18 88.819688 61.684411 12.384493
19 88.819688 64.205491 7.937045
20 88.819688 63.030677 11.831714
21 88.819688 60.054591 16.614717
22 88.819688 59.799708 17.375867
23 88.819688 64.448388 9.884912
24 88.819688 63.938673 10.444154
25 88.819688 62.13176 13.395994
26 88.819688 64.798029 8.971736
27 88.819688 63.660749 10.948383
28 88.819688 64.406321 10.14652
29 88.819688 64.78537 9.615214
